ari,db,silh,k,kdiff
0.9861568792879168,0.6605501850308213,0.9353914556612946,18.0,2.0
1.0,0.025191225581409047,0.9827131583116275,16.0,0.0
0.9925514951617483,0.46095475659104646,0.9447484450482064,17.0,1.0
0.996021792643233,0.30410229966792185,0.9514900847775549,17.0,1.0
0.2660021701329567,2.7445000305638434,0.40781824408728845,12.0,4.0
0.16935160474243235,1.059704858215776,0.3767932789175355,8.0,8.0
1.0,0.025191225581409047,0.9827131583116275,16.0,0.0
0.45546349630612276,1.400881039029035,0.6204454405860167,12.0,4.0
0.9264532910068656,0.9761041969161243,0.8831857067119955,16.0,0.0
1.0,0.025191225581409047,0.9827131583116275,16.0,0.0
1.0,0.025191225581409047,0.9827131583116275,16.0,0.0
1.0,0.025191225581409047,0.9827131583116275,16.0,0.0
1.0,0.025191225581409047,0.9827131583116275,16.0,0.0
1.0,0.025191225581409047,0.9827131583116275,16.0,0.0
1.0,0.025191225581409047,0.9827131583116275,16.0,0.0
1.0,0.025191225581409047,0.9827131583116275,16.0,0.0
0.9925514951617483,0.4115586820982344,0.9384114823788892,17.0,1.0
0.28406875180135904,1.3505072559949007,0.4798995847460191,10.0,6.0
0.9879140548922514,0.6183237178861913,0.9386538552686392,18.0,2.0
0.9848863564915072,0.6619744660763642,0.9290951712244597,17.0,1.0
0.9933709107912241,0.41624235744336724,0.9413954472917025,17.0,1.0
1.0,0.025191225581409047,0.9827131583116275,16.0,0.0
0.28183837907074805,1.5818025592030984,0.4477369013849617,11.0,5.0
1.0,0.025191225581409047,0.9827131583116275,16.0,0.0
1.0,0.025191225581409047,0.9827131583116275,16.0,0.0
0.3598712744061224,1.4447170634966806,0.5503450153182236,12.0,4.0
0.9837150028211763,0.8845088798214591,0.8935938789367306,18.0,2.0
0.996021792643233,0.3536444740401856,0.9384210565739406,17.0,1.0
0.17031630170316303,0.9427809898004397,0.39934858187819705,7.0,9.0
0.9910098338181402,0.45208557695260754,0.9467606429698752,17.0,1.0
