ari,db,silh,k,kdiff
0.9915939567429021,0.3737548598347747,0.7105860939431352,15.0,0.0
0.9181144290865327,0.4779182342351952,0.6650556935165348,15.0,0.0
0.6781057151185851,0.5599575287512547,0.5615106976154094,10.0,5.0
0.9915939567429021,0.3737548598347747,0.7105860939431352,15.0,0.0
0.9783043880911432,0.4758777807678932,0.6886047622078078,16.0,1.0
0.8121498459121721,0.4497025677495516,0.6384772399566504,12.0,3.0
0.9270655616512725,0.39048044940186577,0.6909899129875513,14.0,1.0
0.9915939567429021,0.3737548598347747,0.7105860939431352,15.0,0.0
0.9915939567429021,0.3737548598347747,0.7105860939431352,15.0,0.0
0.8636699314091005,0.4638706064253576,0.6481022731356199,14.0,1.0
0.9165680791435498,0.4318553710747358,0.6658706596945413,14.0,1.0
0.9173409765333498,0.4090432858282247,0.6772230140190147,14.0,1.0
0.9915939567429021,0.3737548598347747,0.7105860939431352,15.0,0.0
0.8140583059597545,0.45268139006279434,0.6392859755939516,12.0,3.0
0.8758957215047057,0.4279516231419604,0.6686974585829158,13.0,2.0
0.9915939567429021,0.3737548598347747,0.7105860939431352,15.0,0.0
0.8401182145693519,0.5103082839006874,0.6276112049582406,14.0,1.0
0.7071469489281721,0.5649128739985526,0.5879232515597612,10.0,5.0
0.8455803334012646,0.4518545284634276,0.6353732296066834,13.0,2.0
0.9270655616512725,0.39048044940186577,0.6909899129875513,14.0,1.0
0.8606867014552009,0.4469216949626361,0.6506413197153066,13.0,2.0
0.9194405757000798,0.44394372739207744,0.6774651730670341,15.0,0.0
0.7576950349187349,0.5171787485409922,0.5990769015851947,11.0,4.0
0.6761051718556498,0.5608179636014998,0.5618001005737581,10.0,5.0
0.6833314564974791,0.5867132888048704,0.5649858043956257,10.0,5.0
0.918153360767355,0.40173559049420865,0.6813685540669171,14.0,1.0
0.8546966644091607,0.45732564965572337,0.6462388196557269,13.0,2.0
0.702237429136169,0.5456209609850075,0.5696888221124732,10.0,5.0
0.7600273126558544,0.4943051545460706,0.6032277024816387,12.0,3.0
0.931572346406402,0.39699494711223426,0.687499468964169,14.0,1.0
