ari,db,silh,k,kdiff
0.2666453706880466,0.7102812651270521,0.385920605552436,13.0,10.0
0.2811154401097108,0.8111290747534438,0.34803985392265424,13.0,10.0
0.3744086673011497,0.7640924617334791,0.3656642531994189,12.0,9.0
0.2696390566330016,0.7732610279776883,0.35926543715674436,13.0,10.0
0.4078081820579569,0.7617886251462735,0.3759402989541066,13.0,10.0
0.25944639525317326,0.7214403672578317,0.3857860742011602,14.0,11.0
0.2656280898670359,0.7424004424287589,0.37868391148213654,15.0,12.0
0.2878642231856803,0.7355845573704058,0.38999007464793034,14.0,11.0
0.23441413440817946,0.7775618566610916,0.3430491563866917,16.0,13.0
0.2797814122832621,0.7344610826129792,0.37475484867107683,15.0,12.0
0.4000922059266757,0.763597466287596,0.3763076327702733,13.0,10.0
0.25895592517252725,0.7209099790033655,0.38803475624740347,14.0,11.0
0.28375000663759636,0.7611989851383563,0.38150774942448784,13.0,10.0
0.24286383262700656,0.7420945536534258,0.38465610722172056,15.0,12.0
0.2929681969630862,0.724077811862972,0.3951467353773774,14.0,11.0
0.23892333821184317,0.7461524030188971,0.3728313248701481,15.0,12.0
0.3368295780552963,0.7958572479932884,0.3616326223126289,10.0,7.0
0.34508134030053284,0.7569291183018162,0.379124334232972,12.0,9.0
0.2954641154797413,0.7598401961904386,0.3820131288667,13.0,10.0
0.47958705526143414,0.7419183939706566,0.39002750564517524,10.0,7.0
0.2393787767355749,0.7870713352724142,0.3480052424851635,13.0,10.0
0.4742693071237228,0.6630730694009103,0.4911969177587801,4.0,1.0
0.24102143092155082,0.7709166161107738,0.36428098260894004,15.0,12.0
0.24743855094602457,0.7198086894900766,0.3669973566092747,16.0,13.0
0.2505795742552844,0.6916143833770596,0.40143286888912805,16.0,13.0
0.2820782330752952,0.7413349338755486,0.38299378524831484,12.0,9.0
0.2622697966059713,0.6947949820997595,0.396614123687544,16.0,13.0
0.2430309928278145,0.7431763917246647,0.37367593702795654,15.0,12.0
0.2628634105015519,0.7351200880615151,0.38284115091234455,13.0,10.0
0.31187358743467836,0.7917163027265149,0.3588934711450469,12.0,9.0
