ari,db,silh,k,kdiff
0.10603502143655183,0.709385235307964,0.423651406605635,12.0,10.0
0.11569362279430083,0.7137820282540281,0.4247218123532115,11.0,9.0
0.09901190675436417,0.6908934541132593,0.4303772971066485,14.0,12.0
0.1484930716478109,0.6790178268938595,0.4474844505374713,9.0,7.0
0.1327711823265126,0.7206711319631386,0.4414363298261221,11.0,9.0
0.16554333471298194,0.6842553940796299,0.46325458328439184,8.0,6.0
0.1088789320179695,0.7183359294652542,0.4390155543142489,13.0,11.0
0.11554581277178409,0.6906871850743723,0.4355921646276958,14.0,12.0
0.14549116693011918,0.7152163581673358,0.4506629181084257,11.0,9.0
0.16021524443952637,0.6999794586096891,0.45991275358019745,9.0,7.0
0.160275073554987,0.7021688191065764,0.45877615339352984,9.0,7.0
0.16417553767263685,0.6699595135057459,0.46195785358189123,10.0,8.0
0.15864920363978915,0.7001142417859852,0.4643165771605077,10.0,8.0
0.15864920363978915,0.7001142417859852,0.4643165771605077,10.0,8.0
0.17032389240815124,0.7096433195757785,0.4640742198943854,9.0,7.0
0.14336642579113848,0.6947272522454421,0.43852491641862745,9.0,7.0
0.10107222693617561,0.697762785231589,0.42565071914330177,16.0,14.0
0.1654232503499976,0.6842812608598605,0.46474421975959884,8.0,6.0
0.11431395533520151,0.71566090611583,0.42986145594899466,11.0,9.0
0.14829485490243152,0.6787493063910957,0.4474252461491158,9.0,7.0
0.14168523392024365,0.6943872461152316,0.4486200026369599,11.0,9.0
0.16021524443952637,0.6999794586096891,0.45991275358019745,9.0,7.0
0.11968539264224207,0.6861739894507237,0.42748436825247266,12.0,10.0
0.15864920363978915,0.7001142417859852,0.4643165771605077,10.0,8.0
0.16554333471298194,0.6842553940796299,0.46325458328439184,8.0,6.0
0.1637086595177568,0.6790415194721026,0.4638450472667781,9.0,7.0
0.1641356828483461,0.6742786281021732,0.4631160311147243,10.0,8.0
0.1637086595177568,0.6790415194721026,0.4638450472667781,9.0,7.0
0.1406388583293767,0.7259986575855122,0.4444124360385029,10.0,8.0
0.11421525852123052,0.7128470784341154,0.4321886374162631,11.0,9.0
