ari,db,silh,k,kdiff
0.5257458385486629,0.7278955150685027,0.4340251335565544,10.0,5.0
0.5935663162467456,0.6947369774466287,0.4576690423307051,12.0,3.0
0.6539838867071155,0.6916294375882006,0.47321928189465856,13.0,2.0
0.5675639166933368,0.7208179907375579,0.43905141292829686,11.0,4.0
0.7019351744597193,0.6663370821807082,0.4799206796041209,16.0,1.0
0.6299014319114031,0.7026550303700321,0.4599224591424267,13.0,2.0
0.5378984083580309,0.7142340086489146,0.43029074054860256,10.0,5.0
0.5320075057773819,0.6995306220545734,0.4400726131445306,10.0,5.0
0.7034932377905028,0.6607151370993578,0.4881604313342518,15.0,0.0
0.7034932377905028,0.6607151370993578,0.4881604313342518,15.0,0.0
0.7039420905339091,0.6603177332608327,0.4881552425777349,15.0,0.0
0.5324592522576833,0.698153059403077,0.4400833294752281,10.0,5.0
0.6631327582524528,0.6893240347975748,0.46749858904460934,14.0,1.0
0.5945430809678214,0.6712244233352349,0.453975213317628,12.0,3.0
0.6406330842332814,0.6907490800358246,0.46517883890485484,13.0,2.0
0.6601257777851136,0.664284011692765,0.47136376152008497,15.0,0.0
0.6819823701564193,0.6569307537977234,0.47835500079647086,15.0,0.0
0.6464386712854343,0.6622561740173231,0.4766518066270671,13.0,2.0
0.7021338144475112,0.6607662861431567,0.48812839069407726,15.0,0.0
0.6102078885790766,0.6973902127155709,0.46218278915713557,12.0,3.0
0.6620420407290538,0.6954711965710647,0.4708665375694184,13.0,2.0
0.5709439616545504,0.7120800707485183,0.4390721602552904,11.0,4.0
0.5742014303266969,0.6931118002705847,0.4592829502377252,11.0,4.0
0.5404961632408406,0.7054770331147726,0.43717890266197484,10.0,5.0
0.6303298132264747,0.6997384924781873,0.4600889545015687,13.0,2.0
0.6856564992665947,0.662313728797975,0.48463020449008004,14.0,1.0
0.5038438705246786,0.7143249274811287,0.41847096477812623,9.0,6.0
0.6627682253893667,0.7257320685364081,0.46858820432588827,17.0,2.0
0.6813015321886501,0.6591525998974154,0.48710409125591475,14.0,1.0
0.53882048215988,0.6940948978489012,0.4373271202341233,11.0,4.0
