ari,db,silh,k,kdiff
1.0,0.050925877312968944,0.9655065830062562,16.0,0.0
1.0,0.050925877312968944,0.9655065830062562,16.0,0.0
1.0,0.050925877312968944,0.9655065830062562,16.0,0.0
0.9361303614909159,0.503093562716331,0.9078321397423493,15.0,1.0
1.0,0.050925877312968944,0.9655065830062562,16.0,0.0
0.9361303614909159,0.5160223256932143,0.9048107209545949,15.0,1.0
1.0,0.050925877312968944,0.9655065830062562,16.0,0.0
1.0,0.050925877312968944,0.9655065830062562,16.0,0.0
1.0,0.050925877312968944,0.9655065830062562,16.0,0.0
0.8790351188364668,0.6226394421395665,0.8459521977680561,14.0,2.0
1.0,0.050925877312968944,0.9655065830062562,16.0,0.0
1.0,0.050925877312968944,0.9655065830062562,16.0,0.0
1.0,0.050925877312968944,0.9655065830062562,16.0,0.0
1.0,0.050925877312968944,0.9655065830062562,16.0,0.0
1.0,0.050925877312968944,0.9655065830062562,16.0,0.0
1.0,0.050925877312968944,0.9655065830062562,16.0,0.0
1.0,0.050925877312968944,0.9655065830062562,16.0,0.0
1.0,0.050925877312968944,0.9655065830062562,16.0,0.0
1.0,0.050925877312968944,0.9655065830062562,16.0,0.0
0.8790351188364668,0.6103887255919263,0.8469442400611966,14.0,2.0
1.0,0.050925877312968944,0.9655065830062562,16.0,0.0
0.9361303614909159,0.55660105526235,0.9022454306170061,15.0,1.0
1.0,0.050925877312968944,0.9655065830062562,16.0,0.0
0.9361303614909159,0.5277052982286158,0.906444494590617,15.0,1.0
1.0,0.050925877312968944,0.9655065830062562,16.0,0.0
1.0,0.050925877312968944,0.9655065830062562,16.0,0.0
1.0,0.050925877312968944,0.9655065830062562,16.0,0.0
1.0,0.050925877312968944,0.9655065830062562,16.0,0.0
1.0,0.050925877312968944,0.9655065830062562,16.0,0.0
0.9361303614909159,0.5160223256932143,0.9048107209545949,15.0,1.0
