ari,db,silh,k,kdiff
0.47125904885486464,0.5105488212676631,0.5573958039704306,4.0,2.0
0.7850195164053347,0.5121756091314563,0.5795263860332167,3.0,3.0
0.27055887968827286,0.5030781783727413,0.6211674670681692,2.0,4.0
0.47125904885486464,0.5105488212676631,0.5573958039704306,4.0,2.0
0.7850195164053347,0.5121756091314563,0.5795263860332167,3.0,3.0
0.47125904885486464,0.5105488212676631,0.5573958039704306,4.0,2.0
0.47125904885486464,0.5105488212676631,0.5573958039704306,4.0,2.0
0.47125904885486464,0.5105488212676631,0.5573958039704306,4.0,2.0
0.7850195164053347,0.5121756091314563,0.5795263860332167,3.0,3.0
0.27055887968827286,0.5030781783727413,0.6211674670681692,2.0,4.0
0.47125904885486464,0.5105488212676631,0.5573958039704306,4.0,2.0
0.7850195164053347,0.5121756091314563,0.5795263860332167,3.0,3.0
0.480622226249581,0.5104160671261465,0.5574872797877817,4.0,2.0
0.47125904885486464,0.5105488212676631,0.5573958039704306,4.0,2.0
0.47125904885486464,0.5105488212676631,0.5573958039704306,4.0,2.0
0.7850195164053347,0.5121756091314563,0.5795263860332167,3.0,3.0
0.7850195164053347,0.5121756091314563,0.5795263860332167,3.0,3.0
0.7850195164053347,0.5121756091314563,0.5795263860332167,3.0,3.0
0.27055887968827286,0.5030781783727413,0.6211674670681692,2.0,4.0
0.47125904885486464,0.5105488212676631,0.5573958039704306,4.0,2.0
0.27055887968827286,0.5030781783727413,0.6211674670681692,2.0,4.0
0.7850195164053347,0.5121756091314563,0.5795263860332167,3.0,3.0
0.47125904885486464,0.5105488212676631,0.5573958039704306,4.0,2.0
0.5503661302082965,0.509995527810557,0.5580827188305251,4.0,2.0
0.5531466540101518,0.5100891383144114,0.5577579493647923,4.0,2.0
0.27055887968827286,0.5030781783727413,0.6211674670681692,2.0,4.0
0.47125904885486464,0.5105488212676631,0.5573958039704306,4.0,2.0
0.47125904885486464,0.5105488212676631,0.5573958039704306,4.0,2.0
0.27055887968827286,0.5030781783727413,0.6211674670681692,2.0,4.0
0.7850195164053347,0.5121756091314563,0.5795263860332167,3.0,3.0
