ari,db,silh,k,kdiff
0.45420511334437125,0.7874139645146231,0.45229979798768466,4.0,1.0
0.45420511334437125,0.7874139645146231,0.45229979798768466,4.0,1.0
0.4579843580951239,0.7232314248547663,0.5349146923345195,3.0,0.0
0.45047951989508067,0.7660902279757832,0.4621760694497805,4.0,1.0
0.46335963080132303,0.7118167258414156,0.4801474927983108,4.0,1.0
0.4517045470084639,0.7008646513629797,0.535299069138006,3.0,0.0
0.4579843580951239,0.7232314248547663,0.5349146923345195,3.0,0.0
0.4517045470084639,0.7008646513629797,0.535299069138006,3.0,0.0
0.45970001251062076,0.7522947578259631,0.46690511928507683,4.0,1.0
0.4517045470084639,0.7008646513629797,0.535299069138006,3.0,0.0
0.45420511334437125,0.7874139645146231,0.45229979798768466,4.0,1.0
0.4517045470084639,0.7008646513629797,0.535299069138006,3.0,0.0
0.4517045470084639,0.7008646513629797,0.535299069138006,3.0,0.0
0.4517045470084639,0.7008646513629797,0.535299069138006,3.0,0.0
0.4517045470084639,0.7008646513629797,0.535299069138006,3.0,0.0
0.4517045470084639,0.7008646513629797,0.535299069138006,3.0,0.0
0.4577415893116306,0.7375005281366507,0.4745420700871065,4.0,1.0
0.4579843580951239,0.7232314248547663,0.5349146923345195,3.0,0.0
0.45047951989508067,0.7660902279757832,0.4621760694497805,4.0,1.0
0.38060433017457646,0.9223523944124871,0.3699662605392432,5.0,2.0
0.45047951989508067,0.7660902279757832,0.4621760694497805,4.0,1.0
0.43755133567715637,0.8376789838206041,0.4425106038741458,4.0,1.0
0.45047951989508067,0.7660902279757832,0.4621760694497805,4.0,1.0
0.4517045470084639,0.7008646513629797,0.535299069138006,3.0,0.0
0.45420511334437125,0.7874139645146231,0.45229979798768466,4.0,1.0
0.4517045470084639,0.7008646513629797,0.535299069138006,3.0,0.0
0.4517045470084639,0.7008646513629797,0.535299069138006,3.0,0.0
0.4579843580951239,0.7232314248547663,0.5349146923345195,3.0,0.0
0.4438171598012458,0.7962610378249251,0.44651289141635014,4.0,1.0
0.39609917350194435,0.8476430893968757,0.44125338104432915,4.0,1.0
