ari,db,silh,k,kdiff
0.9969691278254057,0.2530269024143608,0.9411718285811846,17.0,1.0
0.9899853602455143,0.4985316593509185,0.9248056197507434,18.0,2.0
0.7812700449005772,0.7168686914971787,0.79232184483126,13.0,3.0
1.0,0.050925877312968944,0.9655065830062562,16.0,0.0
0.996021792643233,0.26356152238845953,0.943371122270764,17.0,1.0
0.5753424657534247,0.8091186056223679,0.702859164948604,12.0,4.0
0.12706539446125203,0.9179554897603865,0.3207535741485982,6.0,10.0
0.9877284528185487,0.5260473904469833,0.9173313968601992,17.0,1.0
0.7812700449005772,0.8432125404697567,0.7680647122091017,13.0,3.0
0.994222530437023,0.3404415737448289,0.9437141405763286,17.0,1.0
1.0,0.050925877312968944,0.9655065830062562,16.0,0.0
0.36734693877551017,0.9074750794544624,0.556034709524855,10.0,6.0
1.0,0.050925877312968944,0.9655065830062562,16.0,0.0
1.0,0.050925877312968944,0.9655065830062562,16.0,0.0
0.9895986090808624,0.44186231778144025,0.926481024417542,17.0,1.0
0.8276907529055079,0.7214715420599704,0.8303993660603917,14.0,2.0
1.0,0.050925877312968944,0.9655065830062562,16.0,0.0
0.8276907529055079,0.6813597456811369,0.8380500270270984,14.0,2.0
0.9902878538009899,0.4390235695562896,0.9203481061298987,17.0,1.0
1.0,0.050925877312968944,0.9655065830062562,16.0,0.0
1.0,0.050925877312968944,0.9655065830062562,16.0,0.0
0.7006145741878842,0.7497129948966699,0.7718129645017916,13.0,3.0
1.0,0.050925877312968944,0.9655065830062562,16.0,0.0
0.9850389668821989,0.7417015076759667,0.8830966632669003,18.0,2.0
1.0,0.050925877312968944,0.9655065830062562,16.0,0.0
0.9925514951617483,0.41645070233008896,0.9166580457769945,17.0,1.0
0.5753424657534247,0.8726833459373188,0.6886074252524852,12.0,4.0
0.996021792643233,0.26356152238845953,0.943371122270764,17.0,1.0
1.0,0.050925877312968944,0.9655065830062562,16.0,0.0
1.0,0.050925877312968944,0.9655065830062562,16.0,0.0
